_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
260124,,4.0,29.0,3.0,4.0,3.0,11/05/2020,3.0,3.0,3.0,4.0,,4.0,4.0,3.0,4.0,4.0,15,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153010.0,69.0,4.0,194  DOWLING AVE ,3.0,,4,3.0,2010.0,2017.0
260125,,3.0,11.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153027.0,60.0,,1479  QUEEN ST W,,,4,,1917.0,2017.0
260126,,4.0,23.0,,4.0,4.0,12/08/2020,4.0,3.0,3.0,3.0,,4.0,4.0,3.0,3.0,4.0,14,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153035.0,73.0,5.0,1387  QUEEN ST W,3.0,,4,4.0,1910.0,2017.0
260127,4.0,12.0,96.0,4.0,4.0,4.0,11/10/2020,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153486.0,74.0,5.0,100  ALEXANDER ST ,3.0,4.0,13,4.0,1968.0,2017.0
260128,,4.0,30.0,4.0,5.0,5.0,12/03/2019,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,16,,,PRIVATE,Evaluation needs to be conducted in 3 years,4153496.0,86.0,4.0,77  WELLESLEY ST E,4.0,,13,4.0,1926.0,2017.0
260129,,8.0,88.0,4.0,3.0,4.0,12/16/2020,4.0,3.0,3.0,4.0,,4.0,4.0,4.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153497.0,75.0,4.0,85  WELLESLEY ST E,4.0,,13,4.0,1965.0,2018.0
260130,4.0,3.0,16.0,,4.0,4.0,11/18/2020,3.0,4.0,4.0,4.0,,5.0,3.0,5.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153507.0,81.0,5.0,510  JARVIS ST ,4.0,,13,4.0,1888.0,2017.0
260131,5.0,8.0,71.0,4.0,5.0,5.0,12/03/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153509.0,82.0,4.0,88  WELLESLEY ST E,3.0,,13,4.0,1960.0,2017.0
260132,4.0,33.0,319.0,5.0,4.0,5.0,03/15/2019,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,20,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154010.0,87.0,5.0,500  DUPLEX AVE ,4.0,4.0,8,4.0,1974.0,2017.0
260133,,5.0,46.0,4.0,4.0,4.0,11/20/2019,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154023.0,80.0,5.0,2914  YONGE ST ,4.0,4.0,8,4.0,1929.0,2017.0
